Collection_no.	Genus	(Infra)Species	Databaseno.(name_on_the_tube)	L0725	F4121	fVGF	rVVG
Wade3094	Loxogramme	parksii	Co159				
Wade3428	Loxogramme	parksii	Co160				
Lu15742	Plagiogyria	adnata	Co197				
Kuo512	Goniophlebium	percussum	Co221				
Wade2609	Plagiogyria	adnata	Co248				
Wade3933	Oreogrammitis	jagoriana	Co289				
Wade3934	Oreogrammitis	fenicis	Co290				
Wade3936	Tomophyllum	donianum	Co291				
Lu26324	Hymenasplenium	pseudobscurum	Co397	br15	br15	br15	br04
Lu28348	Dryopteris	alpestris	Co399	br03	br06	br04	br18
Lu22288	Monachosorum	maximowiczii	Co426				
Lu25988	Didymoglossum	bimarginatum	Co437				
Lu25993	Adiantum	edgeworthii	Co438				
Kuo2411	Loxogramme	biformis	Co441				
Kuo4198	Adiantum	malesianum	Co505				
Wade4993	Christella	latipinna	Co513				
Lu31411	Cyclogramma	leveillei	Co520	br08	br10	br14	br01
201115_g1	unknown	gametophyte	201115_g1	br01	br11		
201115_g10	unknown	gametophyte	201115_g10	br07	br05		
201115_g11	unknown	gametophyte	201115_g11	br08	br02		
201115_g13	unknown	gametophyte	201115_g13	br03	br11		
201115_g16	unknown	gametophyte	201115_g16	br08	br04		
201115_g17	unknown	gametophyte	201115_g17	br08	br05		
201115_g3	unknown	gametophyte	201115_g3	br02	br06		
201115_g38	unknown	gametophyte	201115_g38	br13	br02		
201115_g39	unknown	gametophyte	201115_g39	br13	br07		
201115_g40	unknown	gametophyte	201115_g40	br04	br11		
201115_g4-1	unknown	gametophyte	201115_g4-1	br09	br05		
201115_g42	unknown	gametophyte	201115_g42	br10	br02		
201115_g43	unknown	gametophyte	201115_g43	br10	br06		
201115_g48	unknown	gametophyte	201115_g48	br12	br07		
201115_g50	unknown	gametophyte	201115_g50	br04	br06		
201115_g51	unknown	gametophyte	201115_g51	br05	br04		
201115_g8	unknown	gametophyte	201115_g8	br04	br03		
210118_g104-2	unknown	gametophyte	210118_g104-2	br15	br10		
210118_g14	unknown	gametophyte	210118_g14	br08	br11		
210118_g15	unknown	gametophyte	210118_g15	br17	br01		
210118_g16	unknown	gametophyte	210118_g16	br10	br11		
210118_g20	unknown	gametophyte	210118_g20	br20	br01		
210118_g23	unknown	gametophyte	210118_g23	br15	br02		
210118_g26	unknown	gametophyte	210118_g26	br16	br02		
210118_g37	unknown	gametophyte	210118_g37	br12	br11		
210118_g7	unknown	gametophyte	210118_g7	br15	br01		
210118_g72	unknown	gametophyte	210118_g72	br19	br02		
210118_g79	unknown	gametophyte	210118_g79	br20	br03		
210118_g80	unknown	gametophyte	210118_g80	br15	br04		
210118_g81	unknown	gametophyte	210118_g81	br17	br04		
210118_g82	unknown	gametophyte	210118_g82	br20	br11		
210118_g86	unknown	gametophyte	210118_g86	br18	br05		
210118_g87	unknown	gametophyte	210118_g87	br14	br07		
210118_g92	unknown	gametophyte	210118_g92	br15	br07		
210118_g95	unknown	gametophyte	210118_g95	br16	br07		
210118_g96	unknown	gametophyte	210118_g96	br18	br08		
Wade3890	Loxogramme	avenia	Co153	br08	br09	br18	br10
Wade4316	Loxogramme	carinata	Co154	br10	br09	br18	br11
Wade4805	Loxogramme	centicola	Co155	br11	br09	br18	br12
Wade3902	Loxogramme	dimorpha	Co156	br12	br09	br18	br13
Wade4709	Loxogramme	ensifrons	Co157	br13	br09	br18	br14
Wade4696	Loxogramme	nidiformis	Co158	br14	br09	br18	br15
SITW11134-2	Loxogramme	scolopendrioides	Co161	br17	br09	br18	br18
Wade1829	Loxogramme	avenia	Co176	br18	br09	br17	br10
Wade4805	Loxogramme	centicola	Co177	br19	br09	br17	br11
FN96_20090917	Loxogramme	chinensis	Co178	br20	br09	br17	br12
Wade2431	Loxogramme	grammitoides	Co179	br08	br08	br17	br13
FWL985	Loxogramme	parallela	Co180	br09	br08	br17	br14
Kuo3282	Loxogramme	salicifolia	Co181	br10	br08	br17	br15
Wade1404	Loxogramme	scolopendria	Co182	br11	br08	br17	br16
Lu15717	Loxogramme	sp.	Co183	br12	br08	br17	br17
Wade2318	Plagiogyria	adnata	Co195	br11	br07	br15	br11
Kuo2966	Plagiogyria	euphlebia	Co198				
Wade2326	Plagiogyria	falcata	Co200				
Kuo3455	Plagiogyria	glauca	Co201	br17	br07	br15	br17
Wade1912	Plagiogyria	glauca	Co202	br18	br07		
Lu24713	Plagiogyria	japonica	Co203	br19	br07	br14	br10
Lu26126	Plagiogyria	japonica	Co204	br20	br07	br14	br11
Lu23177	Goniophlebium	transpianense	Co222	br05	br17	br12	br18
Wade2203	Goniophlebium	verrucosum	Co224	br06	br17	br11	br12
Wade4813	Goniophlebium	prainii	Co225	br07	br17	br11	br13
Liu9813	Odontosoria	retusa	Co226	br15	br08	br16	br11
Wade1722	Odontosoria	chusana	Co227	br16	br08	br16	br12
FWL687	Odontosoria	chusana	Co228			br16	br13
Wade2371	Odontosoria	chinensis	Co230			br16	br14
Wade3625	Odontosoria	retusa	Co231	br19	br08	br16	br15
Wade3780	Odontosoria	chinensis	Co232	br20	br08	br16	br16
Wade4188	Odontosoria	chinensis	Co233	br08	br07	br16	br17
SITW10502	Odontosoria	deltoidea	Co234	br09	br07	br16	br18
SITW11046-2	Odontosoria	chinensis	Co235	br10	br07	br15	br10
Wade4121	Plagiogyria	falcata	Co253	br11	br06	br14	br14
Wade4277	Plagiogyria	adnata	Co254	br12	br06	br14	br15
Wade4600	Plagiogyria	clemensiae	Co257	br13	br06	br14	br16
Lu31451	Plagiogyria	sp.	Co261	br14	br06	br14	br17
FN4_20090705	Loxogramme	porcata	Co281	br13	br08	br17	br18
Kuo2060	Oreogrammitis	jagoriana	Co285	br10	br01		
Lu26073	Oreogrammitis	moorei	Co287	br15	br16	br01	br10
Lu31378	Tomophyllum	donianum	Co292	br14	br17	br01	br11
Hsu4470	Tomophyllum	donianum	Co293	br12	br12		
Hsu5092	Tomophyllum	hayatae	Co294	br16	br17	br01	br12
Hsu6420	Scleroglossum	sp.	Co295	br17	br18	br01	br13
Hsu6554	Scleroglossum	sp.	Co296	br11	br11		
Hsu6575	Oreogrammitis	ilanensis	Co297	br06	br07	br01	br14
Hsu6615	Prosaptia	pectinata	Co299	br06	br05	br01	br15
Hsu6620	Oreogrammitis	reinwardtii	Co300	br19	br20	br01	br16
Hsu7120	Prosaptia	urceolaris	Co301			br03	br03
Hsu7125	Prosaptia	contigua	Co302	br06	br02	br01	br17
Hsu7136	Tomophyllum	donianum	Co303	br20	br18	br02	br10
Hsu7155	Prosaptia	nutans	Co304	br06	br03	br02	br11
Hsu7325	Oreogrammitis	moorei	Co305	br09	br02		
Hsu7756	Tomophyllum	hayatae	Co306	br18	br17	br02	br13
Hsu7830	Tomophyllum	sp.	Co307	br14	br16		
Hsu8585	Tomophyllum	sp.	Co308	br01	br06		
Hsu8994	Oreogrammitis	sp.	Co310	br16	br19		
Hsu9915	Oreogrammitis	jagoriana	Co311	br17	br20		
Hsu10189	Calymmodon	ordinatus	Co312	br01	br01		
Hsu10198	Oreogrammitis	subevenosa	Co313			br01	br03
Hsu10199	Oreogrammitis	adspersa	Co314			br01	br06
Lu19495	Cheilanthes	tenuifolia	Co315	br19	br16		
Kuo1544	Goniophlebium	manmeiense	Co320	br01	br16	br12	br15
Lu21444	Doryopteris	concolor	Co325	br17	br16		
SITW11656	Goniophlebium	persicifolium	Co333	br04	br16	br11	br11
Lu39936	Paragymnopteris	vestita	Co334	br18	br16		
SITW04914	Goniophlebium	demersum	Co335	br03	br16	br11	br10
Hsu11304	Scleroglossum	sulcatum	Co340	br19	br18		
Hsu11324	Prosaptia	pectinata	Co341	br06	br04		
Hsu11441	Prosaptia	contigua	Co342	br06	br01	br02	br14
Hsu11442	Prosaptia	formosana	Co343	br02	br02	br02	br17
Hsu11852	Tomophyllum	sp.	Co344	br19	br17		
Kuo4589	Prosaptia	celebica	Co348	br20	br19	br02	br15
Hsu5648	Oreogrammitis	beddomeana	Co360			br02	br05
Hsu6215	Tomophyllum	sp.	Co361	br20	br17		
Hsu6347	Oreogrammitis	beddomeana	Co362	br05	br07	br02	br16
Hsu6381	Oreogrammitis	taiwanensis	Co363	br03	br05	br02	br18
Hsu6432	Oreogrammitis	sinohirtella	Co364	br14	br19		
Hsu6564	Oreogrammitis	congenervar.polytricha	Co365	br17	br19		
Hsu6581	Xiphopterella	devolii	Co366			br02	br06
Hsu6621	Oreogrammitis	congenervar.polytricha	Co367	br10	br10	br10	br09
Hsu6680	Oreogrammitis	setigera	Co368	br02	br05	br03	br12
Hsu6803	Oreogrammitis	sp.	Co369	br15	br19		
Hsu8581	Plagiogyria	falcataxglauca	Co371	br15	br06	br14	br18
Hsu6348	Oreogrammitis	subnervosa	Co375	br18	br19	br09	br09
Hsu6562	Oreogrammitis	ilanensis	Co377	br16	br20		
Hsu7465	Calymmodon	oligotrichus	Co379	br15	br20		
Lu24380-1	Pteris	rugosifolia	Co381	br15	br18		
Chao3006	Bolbitis	lianhuachihensis	Co382	br14	br20	br09	br08
Chao2092	Pteris	latipinna	Co383	br14	br18		
Chao2771	Pteris	subesquirolii	Co384	br16	br18		
Lu20755	Gymnocarpium	oyamense	Co385	br08	br13	br13	br06
Lu20776	Dryopteris	toyamae	Co386	br14	br14	br14	br05
Lu20796	Dryopteris	lacera	Co387	br20	br16	br03	br15
Lu22603	Dryopteris	melanocarpa	Co388	br14	br15		
Lu22292	Dryopteris	stenolepis	Co389	br16	br15	br03	br18
Lu21476	Dryopteris	marginata	Co390	br17	br15	br04	br10
FWL1052	Dryopteris	komarovii	Co391	br18	br15		
FWL1060	Dryopteris	xanthomelas	Co392	br19	br15	br04	br12
Lu24407	Dryopteris	enneaphylla	Co394	br20	br15	br04	br13
Lu25150-2	Dryopteris	woodsiisora	Co395	br15	br14	br04	br14
Lu28310	Equisetum	arvense	Co398				
Lu28349	Dryopteris	serratodentata	Co400	br18	br14	br05	br10
Lu31228	Dryopteris	zayuensis	Co404	br07	br01	br05	br11
Lu30129	Elaphoglossum	marginatum	Co405	br07	br02	br05	br12
Lu29793	Gymnocarpium	remotepinnatum	Co408	br14	br13	br05	br13
Lu29796	Dryopteris	ryo-itoana	Co409	br15	br13	br05	br15
Lu29893	Dryopteris	namegatae	Co410	br16	br13	br05	br16
Lu29897	Dryopteris	edwardsii	Co411	br17	br13	br05	br17
Lu29900	Dryopteris	kawakamii	Co412	br18	br13	br05	br18
Wade5656	Loxogramme	forbesii	Co413	br14	br08	br16	br10
Wade5922	Plagiogyria	pycnophylla	Co414	br16	br06	br13	br10
MO2400	Leptochilus	longissimus	Co416	br13	br14		
MO1881	Osmundastrum	cinnamomeum	Co418	br16	br16	br16	br03
Lu20735	Cyrtomium	macrophyllum	Co419	br17	br17	br17	br02
Lu20789	Adiantum	myriosorum	Co420	br18	br18	br18	br01
Lu23905	Hypolepis	alpina	Co424	br19	br19	br06	br14
Lu23886	Polystichum	hecatopterum	Co425	br20	br20	br06	br15
FWL1053	Cryptogramma	stelleri	Co428	br16	br12		
FWL1059	Polystichum	lachenense	Co429	br18	br10	br06	br18
Lu23900	Teciaria	dubia	Co430	br18	br12	br07	br10
Lu26000	Asplenium	shikokianum	Co432	br20	br12	br07	br11
Lu26009	Asplenium	exiguum	Co433	br14	br11	br07	br12
Lu26070	Crepidomanes	kurzii	Co435			br07	br13
Lu26074	Diplazium	asperum	Co436	br17	br11	br07	br14
Kuo3705	Lepisorus	miyoshianus	Co442	br14	br10	br07	br17
Lu24382	Coniogramme	fraxinea	Co444	br16	br10		
ZXC002256	Dryopteris	erythrosora	Co445	br04	br01	br08	br10
ZXC002316	Salvinia	natans	Co446	br08	br20	br08	br12
Kuo4606	Adiantum	capillus-venerisformacapillus-veneris	Co447	br09	br20	br08	br13
Kuo4609	Tectaria	polymorpha	Co448	br01	br02	br08	br14
Kuo4608	Pyrrosia	angustissima	Co449	br04	br02	br08	br15
Kuo4614	Leptochilus	pteropus	Co450	br10	br20	br08	br16
Kuo4610	Polystichum	lepidocaulon	Co451	br11	br20	br08	br17
Kuo4613	Tectaria	fauriei	Co452	br12	br20	br08	br18
Kuo4607	Asplenium	ritoense	Co453	br13	br20	br09	br11
ZXC002021	Dryopteris	decipiensvar.diplazioides	Co454	br08	br19	br09	br12
ZXC002053	Adiantum	myriosorum	Co455	br09	br19	br09	br13
ZXC002197	Dryopteris	fuscipes	Co456	br05	br02	br09	br14
Hsu11845	Polystichum	fraxinellum	Co457	br10	br19	br09	br15
ZXC001789	Bolbitis	nanjenensis	Co459	br11	br19	br09	br16
ZXC002317	Marsilea	minuta	Co460	br12	br19	br09	br17
Hsu6248	Asplenium	wangii	Co462	br13	br19	br09	br18
ZXC002194	Dryopteris	kinkiensis	Co463	br08	br18	br10	br10
Hsu7877	Polystichum	grandifrons	Co464	br09	br18	br10	br11
ZXC002049	Polystichum	mayebarae	Co465	br01	br03	br10	br12
ZXC002243	Polystichum	attenuatum	Co466	br10	br18	br10	br13
ZXC002244	Plagiogyria	koidzumii	Co467	br20	br06	br13	br14
ZXC002246	Haplopteris	heterophylla	Co468	br11	br18	br10	br14
ZXC002292	Athyrium	auriculatum	Co469	br12	br18	br10	br15
Hsu9390	Loxogramme	chinensis	Co470	br11	br05	br13	br15
Hsu5869	Athyrium	sheareri	Co471	br13	br18	br10	br16
